File type	File format type	Output type	File assembly	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Experiment target	Library made from	Experiment date released	Project	File download URL
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CLO:0015895	GM21381	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-11	ENCODE	https://www.encodeproject.org/files/ENCFF980BJM/@@download/ENCFF980BJM.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZBED5-human	DNA	2018-01-25	ENCODE	https://www.encodeproject.org/files/ENCFF195YPT/@@download/ENCFF195YPT.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0003045	H9	cell line	Homo sapiens	NA	NA	NA	NA	H3K36me3-human	DNA	2020-09-06	ENCODE	https://www.encodeproject.org/files/ENCFF830UKK/@@download/ENCFF830UKK.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	lin-11-celegans	DNA	2018-03-01	modERN	https://www.encodeproject.org/files/ENCFF333RSN/@@download/ENCFF333RSN.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000451	dendritic cell	in vitro differentiated cells	Homo sapiens	lipopolysaccharide	NA	NA	NA	NA	DNA	2017-01-19	GGR	https://www.encodeproject.org/files/ENCFF981FWB/@@download/ENCFF981FWB.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	CRISPR	insertion	NA	vab-15-celegans	DNA	2017-11-06	modERN	https://www.encodeproject.org/files/ENCFF085CJT/@@download/ENCFF085CJT.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZFP1-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF795AWO/@@download/ENCFF795AWO.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0010861	HG03039	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-10	ENCODE	https://www.encodeproject.org/files/ENCFF299PGG/@@download/ENCFF299PGG.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2022-04-26	ENCODE	https://www.encodeproject.org/files/ENCFF842UZU/@@download/ENCFF842UZU.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	RAD21-human	DNA	2020-07-08	ENCODE	https://www.encodeproject.org/files/ENCFF057JFH/@@download/ENCFF057JFH.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	CRISPR	insertion	NA	ref-1-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF725TNG/@@download/ENCFF725TNG.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	NTR:0000667	stimulated activated naive CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	Interleukin-15, anti-CD3 and anti-CD28 coated beads	NA	NA	NA	NA	DNA	2021-10-13	ENCODE	https://www.encodeproject.org/files/ENCFF955PTL/@@download/ENCFF955PTL.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0001003	skin epidermis	tissue	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2020-09-10	ENCODE	https://www.encodeproject.org/files/ENCFF489GFM/@@download/ENCFF489GFM.bed.gz
bed	narrowPeak	IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	CRISPR	insertion	NA	ekl-4-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF258WFW/@@download/ENCFF258WFW.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens	NA	CRISPR	insertion	NA	PRDM15-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF157HQD/@@download/ENCFF157HQD.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000623	natural killer cell	primary cell	Homo sapiens	Interleukin-12 subunit beta, Interleukin-15, Interleukin-18, Interleukin-12 subunit alpha	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF837LBW/@@download/ENCFF837LBW.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ID3-human	DNA	2021-03-31	ENCODE	https://www.encodeproject.org/files/ENCFF794SCQ/@@download/ENCFF794SCQ.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0000948	heart	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF437CYP/@@download/ENCFF437CYP.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000787	memory B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF888IRH/@@download/ENCFF888IRH.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	sdz-12-celegans	DNA	2018-03-01	modERN	https://www.encodeproject.org/files/ENCFF710ANE/@@download/ENCFF710ANE.bed.gz
bed	bed9	merged transcription segment quantifications	GRCh38	Bru-seq	EFO:0006711	OCI-LY7	cell line	Homo sapiens	NA	NA	NA	NA	NA	RNA	2021-09-30	ENCODE	https://www.encodeproject.org/files/ENCFF504RMY/@@download/ENCFF504RMY.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	UBERON:0000995	uterus	tissue	Homo sapiens	NA	NA	NA	NA	NA	DNA	2020-10-08	ENCODE	https://www.encodeproject.org/files/ENCFF824VXG/@@download/ENCFF824VXG.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	K12H6.12-celegans	DNA	2018-03-01	modERN	https://www.encodeproject.org/files/ENCFF458CVD/@@download/ENCFF458CVD.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000451	dendritic cell	in vitro differentiated cells	Homo sapiens	lipopolysaccharide	NA	NA	NA	NA	DNA	2017-01-19	GGR	https://www.encodeproject.org/files/ENCFF388PAR/@@download/ENCFF388PAR.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0009747	WTC11	cell line	Homo sapiens	NA	NA	NA	NA	H3K4me1-human	DNA	2022-02-04	ENCODE	https://www.encodeproject.org/files/ENCFF199JTJ/@@download/ENCFF199JTJ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CLO:0026238	GM18907	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-10	ENCODE	https://www.encodeproject.org/files/ENCFF903NSQ/@@download/ENCFF903NSQ.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002113	kidney	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF352SUH/@@download/ENCFF352SUH.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0010846	HG02678	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-11	ENCODE	https://www.encodeproject.org/files/ENCFF872XXD/@@download/ENCFF872XXD.bed.gz
