File type,File format type,Output type,File assembly,Assay,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample genetic modifications methods,Biosample genetic modifications categories,Experiment target,Library made from,Experiment date released,Project,Lab,File download URL
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,EP300-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF437MOR/@@download/ENCFF437MOR.bed.gz
bigWig,,signal p-value,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,EP300-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF300ETX/@@download/ENCFF300ETX.bigWig
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,EP300-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF642COK/@@download/ENCFF642COK.bigBed
bigBed,narrowPeak,peaks,mm10,DNase-seq,intestine,tissue,Mus musculus,,,,,DNA,2018-01-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF497FWC/@@download/ENCFF497FWC.bigBed
bigWig,,read-depth normalized signal,mm10,DNase-seq,intestine,tissue,Mus musculus,,,,,DNA,2018-01-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF622ZMY/@@download/ENCFF622ZMY.bigWig
bed,narrowPeak,peaks,mm10,DNase-seq,intestine,tissue,Mus musculus,,,,,DNA,2018-01-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF880QXI/@@download/ENCFF880QXI.bed.gz
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF926NKP/@@download/ENCFF926NKP.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF125XXP/@@download/ENCFF125XXP.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF126BYV/@@download/ENCFF126BYV.bigWig
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,TRNAU1AP-human,polyadenylated mRNA,2017-12-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF901MEK/@@download/ENCFF901MEK.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,TRNAU1AP-human,polyadenylated mRNA,2017-12-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF158RWE/@@download/ENCFF158RWE.tsv
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,TRNAU1AP-human,polyadenylated mRNA,2017-12-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF537ZZM/@@download/ENCFF537ZZM.bigWig
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF442YEK/@@download/ENCFF442YEK.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF150UES/@@download/ENCFF150UES.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF911XCV/@@download/ENCFF911XCV.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF350FVA/@@download/ENCFF350FVA.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF712PWV/@@download/ENCFF712PWV.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF841LZB/@@download/ENCFF841LZB.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,NR3C1-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF122DXA/@@download/ENCFF122DXA.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,NR3C1-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF287PXN/@@download/ENCFF287PXN.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,NR3C1-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF824RCT/@@download/ENCFF824RCT.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF877ZYA/@@download/ENCFF877ZYA.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF389RXK/@@download/ENCFF389RXK.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,dexamethasone,,,H3K27ac-human,DNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF419JPW/@@download/ENCFF419JPW.bigBed
bed,bed9+,methylation state at CpG,GRCh38,WGBS,HepG2,cell line,Homo sapiens,,,,,DNA,2017-12-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF690FNR/@@download/ENCFF690FNR.bed.gz
bigWig,,plus strand methylation state at CpG,GRCh38,WGBS,HepG2,cell line,Homo sapiens,,,,,DNA,2017-12-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF884UAE/@@download/ENCFF884UAE.bigWig
bigWig,,minus strand methylation state at CpG,GRCh38,WGBS,HepG2,cell line,Homo sapiens,,,,,DNA,2017-12-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF464CWC/@@download/ENCFF464CWC.bigWig
bigBed,bed9+,methylation state at CpG,GRCh38,WGBS,HepG2,cell line,Homo sapiens,,,,,DNA,2017-12-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF549SNG/@@download/ENCFF549SNG.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,sox-4-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF355UFD/@@download/ENCFF355UFD.bed.gz
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,sox-4-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF183LPX/@@download/ENCFF183LPX.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,ztf-16-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF558SNT/@@download/ENCFF558SNT.bed.gz
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,ztf-16-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF319DZY/@@download/ENCFF319DZY.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,sptf-1-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF512HLK/@@download/ENCFF512HLK.bed.gz
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,sptf-1-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF528CSQ/@@download/ENCFF528CSQ.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF249DHH/@@download/ENCFF249DHH.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF787FST/@@download/ENCFF787FST.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF230ECS/@@download/ENCFF230ECS.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF116SYZ/@@download/ENCFF116SYZ.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF346GZD/@@download/ENCFF346GZD.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF846BTG/@@download/ENCFF846BTG.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF667OTY/@@download/ENCFF667OTY.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF143DRH/@@download/ENCFF143DRH.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF784MJJ/@@download/ENCFF784MJJ.bigBed
bigWig,,minus strand signal of all reads,GRCh38,microRNA-seq,aorta,tissue,Homo sapiens,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF065AFC/@@download/ENCFF065AFC.bigWig
tsv,,microRNA quantifications,GRCh38,microRNA-seq,aorta,tissue,Homo sapiens,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF141QVV/@@download/ENCFF141QVV.tsv
bigWig,,plus strand signal of all reads,GRCh38,microRNA-seq,aorta,tissue,Homo sapiens,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF628PML/@@download/ENCFF628PML.bigWig
tsv,,microRNA quantifications,GRCh38,microRNA-seq,ovary,tissue,Homo sapiens,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF517MBY/@@download/ENCFF517MBY.tsv
bigWig,,plus strand signal of all reads,GRCh38,microRNA-seq,ovary,tissue,Homo sapiens,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF204AXD/@@download/ENCFF204AXD.bigWig
