global_id,local_id,species_id,species_name,donor_age,donor_ethnicity,donor_health_status,donor_id,donor_sex,biospecimen_class_term_id,biospecimen_class_term_label,sample_type_term_id,sample_type_term_label,phenotype_term_id,phenotype_term_label
Global ID,local ID,Species ID,Species Name,Age,Ethnicity ,Health Status ,Donor ID,Sex,Biospecimen Class term ID,Biospecimen class term label,Sample Type term ID,Sample Type term label,Phenotype Term ID,Phenotype Term label
globla id,locla id,species id,name of species,donor Age,donor region,health   ,donor identifier ,M/F,,, sample ID term,sample type label,,Phenotype Label
globale ID,local identifier,organism id,organism name,dnr agee,donor country,health status of donors,dnr identfier,Male/Female,bio class identifier,biospecimen label,sampl term id,sam label,pheno identifier,pheno label
global identifier,,speces id,biosample organism name,,enthivity,dnr health sts,,Gender,term biospecimen class ID,bio label term class,,,phetype term ID,phentype_trm_lbel
globale Indentifiers,,,organosm name ,,donr ethnicity,Health of donor,,donors sex,,,,,phenotype ID,
global_id,local_id,Species ID,species_name,Age,Ethnicity ,Health Status ,Donor ID,Sex,Biospecimen Class term ID,Biospecimen class term label,Sample Type term ID,Sample Type term label,Phenotype Term ID,Phenotype Term label
globalid,localid,species id,speciesname,donor_age,donor_ethnicity,donor_health_status,donor_id,donor_sex,biospecimen_class_term_id,biospecimen_class_term_label,sample_type_term_id,sample_type_term_label,phenotype_term_id,phenotype_term_label
GlobalId,LocalId,organism id,SpeciesName,dnr agee,donor country,,dnr identfier,Male/Female,bio class identifier,biospecimen label,sampl term id,sam label,pheno identifier,pheno label
global_ID,local_ID,speces id,species_name,,enthivity,dnr health sts,,Gender,term biospecimen class ID,bio label term class,,,phetype term ID,phentype_trm_lbel
global-id,local-id,,species-name,donor_age,donr ethnicity,Health of donor,,,,,,,phenotype ID,
glocal_id,lcoal_id,Species ID,specie_name,donorage,Ethnicity ,Health Status ,Donor ID,Sex,Biospecimen Class term ID,Biospecimen class term label,Sample Type term ID,Sample Type term label,Phenotype Term ID,Phenotype Term label
globel_id,locall_id,species id,speciename,DonorAge,donor region,health   ,donor identifier ,M/F,,, sample ID term,sample type label,,Phenotype Label
globalid,localid,organism id,spciesname,donor-age,donor country,dnrr health statuueses,dnr identfier,Male/Female,bio class identifier,biospecimen label,sampl term id,sam label,pheno identifier,pheno label
globald_id,locald_id,speces id,species_name,dono_age,enthivity,dnr health sts,,Gender,term biospecimen class ID,bio label term class,,,phetype term ID,phentype_trm_lbel
glob_id,loc_id,,specie_name,donorAge,donr ethnicity,Health of donor,,,,,,,phenotype ID,
golbal_id,locl_id,Species ID,speciesname,donorag,donor_ethnicity,donor_health_status,donor_id,donor_sex,biospecimen_class_term_id,biospecimen_class_term_label,sample_type_term_id,sample_type_term_label,phenotype_term_id,phenotype_term_label
gloabl_id,locall_id,species id,species_name,donor_age_,donor region,health   ,donor identifier ,M/F,,, sample ID term,sample type label,,Phenotype Label
global-id,local-id,,species-name,donor_age#,ethnicity,disease_state,donr_id,donor_sex,,biosample_type,sample_term_id,tissue,,patient_phenotype
glbal_id,locall_id,Species ID,specie_name,donor_age123,,cancer_status,donor_identifier,gender,bio class identifier,,Sample Type term ID,tissue_region,,tissue_subtype
glibal_id,local-id,species id,speciesname,_donor_age,Ethnicity ,cancer_type,human_donor,patient_gender,term biospecimen class ID,, sample ID term,cell_type,,
globalid_,locall_id,organism id,species_name,donor-age-,donor region,diagnosis,,cell_sex,,Biospecimen class term label,sampl term id,tissue_source,,
global_id_,localid_,speces id,species_name,donor_age1,donor country,donor_type,,,Biospecimen Class term ID,,,tissue_origin,,Phenotype Term label
globalid#,local_id_,,species_name,donor_age2,enthivity,disease_status,dnr identfier,Sex,,biospecimen label,,cell_of_origin,,Phenotype Label
global_id#,localid#,Species ID,speciesname_,donor_age3,donr ethnicity,Health of donor,,M/F,bio class identifier,bio label term class,Sample Type term ID,cells,phenotype ID,pheno label
global_id123,local_id#,species id,species_name_,donor_age_1,Ethnicity ,Health Status ,,Male/Female,term biospecimen class ID,, sample ID term,biopsy_tissue,Phenotype Term ID,phentype_trm_lbel
_global_id,local_id123,organism id,speciesname#,donor_age_2,donor region,health   ,Donor ID,Gender,,Biospecimen class term label,sampl term id,tissue_cells,,
global-id-,_local_id,speces id,species_name#,donor_age_3,donor country,,donor identifier ,,Biospecimen Class term ID,,,tissue_cell_type,pheno identifier,Phenotype Term label
globalId,local-id-,,species_name123,donor_age-1,enthivity,dnr health sts,dnr identfier,Sex,,biospecimen label,,sorted_cell_type,phetype term ID,Phenotype Label
globalid1,localId,Species ID,_species_name,donor_age-2,donr ethnicity,Health of donor,,M/F,bio class identifier,bio label term class,Sample Type term ID,tumor_type,phenotype ID,pheno label
globalid2,localid1,species id,species-name-,donor_age-3,Ethnicity ,Health Status ,,Male/Female,term biospecimen class ID,, sample ID term,tissuetype,Phenotype Term ID,phentype_trm_lbel
globalid3,localid2,organism id,speciesName,donor_age!,donor region,health   ,Donor ID,Gender,,Biospecimen class term label,sampl term id,cell_types,,
global_id1,localid3,,speciesname1,Donor_age,donor country,,donor identifier ,,,,,cells_type,pheno identifier,Phenotype Term label
global_id2,local_id1,,speciesname2,Donor_Age,,dnr health sts,dnr identfier,Sex,,biospecimen label,,source_tissue,phetype term ID,Phenotype Label
global_id3,local_id2,speces id,speciesname3,donorAGE,donor_ethnicity,Health of donor,donor_id,M/F,biospecimen_class_term_id,bio label term class,sample_type_term_id,sample_type_term_label,phenotype ID,pheno label
